Feature,Score
Temp_stft_moderate_spectral_centroid,57.187252684131415
Temp_stft_slow_spectral_centroid,57.186912655053135
Temp_stft_spectral_entropy,57.183332333720394
Temp_stft_spectral_flatness,57.154546283825994
Temp_stft_spectral_spread,57.14274878293088
Temp_stft_max_power,57.0600603418734
Temp_stft_fast_max_power,57.017909144604225
Temp_stft_moderate_max_power,56.9660583132868
Temp_stft_slow_max_power,56.96358623547273
Temp_stft_spectral_centroid,56.69118038029571
Temp_stft_temporal_power_max,56.55695483110635
Temp_stft_temporal_power_std,56.54409381399474
Temp_stft_total_power,56.45876142682628
Temp_stft_ultra_slow_spectral_centroid,56.082184060757704
Temp_stft_temporal_concentration,55.7762035388545
HR_stft_temporal_power_min,55.31036623904863
Temp_stft_slow_temporal_variability,55.15800710478139
Temp_stft_ultra_slow_max_power,55.150394898217286
Temp_stft_slow_std_power,55.09969299860944
Temp_stft_moderate_temporal_variability,54.985989672731144
Temp_stft_fast_std_power,54.97879460570378
Temp_stft_fast_temporal_variability,54.97879460570378
Temp_stft_moderate_std_power,54.842504534303536
Temp_stft_slow_power_ratio,54.547102464037025
Temp_stft_fast_power_ratio,53.95582793899072
Temp_stft_moderate_power_ratio,53.81931748131057
Temp_stft_ultra_slow_std_power,52.94134499325211
Temp_stft_ultra_slow_power_ratio,51.48391081506981
Temp_stft_ultra_slow_temporal_variability,49.194784141389086
Temp_stft_slow_mean_power,48.57011746221039
Temp_stft_moderate_mean_power,48.17450043512944
Temp_stft_mean_power,48.13463171995777
Temp_stft_temporal_power_mean,48.13463171995777
Temp_stft_fast_mean_power,48.04804822316522
Shock_Index_stft_ultra_slow_mean_power,41.70411982251278
Temp_stft_ultra_slow_mean_power,41.53436975331029
Shock_Index_stft_temporal_power_mean,37.84919587475076
Shock_Index_stft_mean_power,37.84919587475067
Shock_Index_stft_slow_mean_power,34.57233482038911
HR_stft_mean_power,33.49438397341342
HR_stft_temporal_power_mean,33.49438397341334
MAP_stft_slow_temporal_variability,30.518570554597687
MAP_stft_slow_std_power,30.435319557366242
Shock_Index_stft_temporal_power_min,27.217469402517672
HR_stft_ultra_slow_mean_power,27.191280159542277
MAP_stft_temporal_power_std,26.87466445554068
Shock_Index_stft_moderate_mean_power,26.668572199916717
MAP_stft_moderate_temporal_variability,25.447871661739676
HR_stft_moderate_mean_power,25.252759644659616
MAP_stft_slow_max_power,23.464459731540575
O2Sat_stft_temporal_power_mean,21.901462812286844
O2Sat_stft_mean_power,21.901462812286834
Shock_Index_stft_fast_mean_power,21.193791532579276
O2Sat_stft_ultra_slow_std_power,20.990235395893425
HR_stft_slow_mean_power,20.802164367229583
O2Sat_stft_ultra_slow_mean_power,20.578399612148534
Resp_stft_ultra_slow_mean_power,20.17617898364682
Resp_stft_ultra_slow_power_ratio,20.09292425425551
MAP_stft_moderate_std_power,19.85780830607833
Shock_Index_stft_fast_max_power,18.95119223866681
MAP_stft_temporal_power_max,18.845071966626307
Shock_Index_stft_moderate_std_power,18.756462673475585
Shock_Index_stft_total_power,18.375104076835193
MAP_stft_fast_temporal_variability,17.900608276809034
MAP_stft_fast_std_power,17.900608276809034
Shock_Index_stft_ultra_slow_std_power,17.10742948612291
Shock_Index_stft_moderate_max_power,16.75350923634673
MAP_stft_fast_max_power,15.883034830313433
MAP_stft_max_power,15.59186176704415
Shock_Index_stft_fast_temporal_variability,15.128785967161617
Shock_Index_stft_fast_std_power,15.128785967161617
Shock_Index_stft_ultra_slow_temporal_variability,14.736717062421729
Shock_Index_stft_slow_std_power,14.67201624103302
Shock_Index_stft_moderate_temporal_variability,14.514681813953523
Shock_Index_stft_slow_temporal_variability,14.494457997112685
O2Sat_stft_ultra_slow_temporal_variability,14.289480874982052
O2Sat_stft_slow_mean_power,13.982941040559258
HR_stft_total_power,13.414456540769999
O2Sat_stft_moderate_mean_power,13.249750195905694
O2Sat_stft_fast_mean_power,12.874543469401008
HR_stft_fast_mean_power,12.833236743245827
MAP_stft_moderate_max_power,12.695627038322069
Shock_Index_stft_slow_max_power,12.614068874507222
MAP_stft_slow_power_ratio,12.24657918955355
O2Sat_stft_ultra_slow_power_ratio,12.210075143934327
Shock_Index_stft_temporal_power_max,12.17001727701941
HR_stft_ultra_slow_std_power,11.944101568158338
Shock_Index_stft_temporal_power_std,11.836803887053845
MAP_stft_total_power,11.190240362396496
Glucose_stft_temporal_trend,11.114441932541448
SBP_stft_ultra_slow_power_ratio,10.54838301104997
Temp_stft_temporal_power_min,10.412352335891326
MAP_stft_ultra_slow_max_power,10.281149133986649
Resp_stft_ultra_slow_temporal_variability,10.269822708275287
O2Sat_stft_ultra_slow_max_power,10.015976704351502
Resp_stft_ultra_slow_std_power,9.990058148457196
O2Sat_stft_total_power,9.97022504461757
O2Sat_stft_temporal_concentration,9.379702980327963
Resp_stft_temporal_power_mean,8.757509615638034
Resp_stft_mean_power,8.75750961563803
